italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
imputare,to impute,sto imputando,I am imputing,stai imputando,you are imputing,sta imputando,he/she is imputing,stiamo imputando,we are imputing,state imputando,you all are imputing,stanno imputando,they are imputing
incrociare,to cross,sto incrociando,I am crossing,stai incrociando,you are crossing,sta incrociando,he/she is crossing,stiamo incrociando,we are crossing,state incrociando,you all are crossing,stanno incrociando,they are crossing
nuocere,to harm,sto nuocendo,I am harming,stai nuocendo,you are harming,sta nuocendo,he/she is harming,stiamo nuocendo,we are harming,state nuocendo,you all are harming,stanno nuocendo,they are harming
evolvere,to evolve,sto evolvendo,I am evolving,stai evolvendo,you are evolving,sta evolvendo,he/she is evolving,stiamo evolvendo,we are evolving,state evolvendo,you all are evolving,stanno evolvendo,they are evolving
arrendere,to surrender,sto arrendendo,I am surrendering,stai arrendendo,you are surrendering,sta arrendendo,he/she is surrendering,stiamo arrendendo,we are surrendering,state arrendendo,you all are surrendering,stanno arrendendo,they are surrendering
scaldare,to heat,sto scaldando,I am heating,stai scaldando,you are heating,sta scaldando,he/she is heating,stiamo scaldando,we are heating,state scaldando,you all are heating,stanno scaldando,they are heating
mentire,to lie,sto mentendo,I am lying,stai mentendo,you are lying,sta mentendo,he/she is lying,stiamo mentendo,we are lying,state mentendo,you all are lying,stanno mentendo,they are lying
sezionare,to dissect,sto sezionando,I am dissecting,stai sezionando,you are dissecting,sta sezionando,he/she is dissecting,stiamo sezionando,we are dissecting,state sezionando,you all are dissecting,stanno sezionando,they are dissecting
coadiuvare,to assist,sto coadiuvando,I am assisting,stai coadiuvando,you are assisting,sta coadiuvando,he/she is assisting,stiamo coadiuvando,we are assisting,state coadiuvando,you all are assisting,stanno coadiuvando,they are assisting
specchiare,to reflect,sto specchiando,I am reflecting,stai specchiando,you are reflecting,sta specchiando,he/she is reflecting,stiamo specchiando,we are reflecting,state specchiando,you all are reflecting,stanno specchiando,they are reflecting
avvelenare,to poison,sto avvelenando,I am poisoning,stai avvelenando,you are poisoning,sta avvelenando,he/she is poisoning,stiamo avvelenando,we are poisoning,state avvelenando,you all are poisoning,stanno avvelenando,they are poisoning
armare,to arm,sto armando,I am arming,stai armando,you are arming,sta armando,he/she is arming,stiamo armando,we are arming,state armando,you all are arming,stanno armando,they are arming
legiferare,to legislate,sto legiferando,I am legislating,stai legiferando,you are legislating,sta legiferando,he/she is legislating,stiamo legiferando,we are legislating,state legiferando,you all are legislating,stanno legiferando,they are legislating
banire,to ban,sto banendo,I am banishing,stai banendo,you are banishing,sta banendo,he/she is banishing,stiamo banendo,we are banishing,state banendo,you all are banishing,stanno banendo,they are banishing
intercettare,to intercept,sto intercettando,I am intercepting,stai intercettando,you are intercepting,sta intercettando,he/she is intercepting,stiamo intercettando,we are intercepting,state intercettando,you all are intercepting,stanno intercettando,they are intercepting
avvisare,to warn,sto avvisando,I am notifying,stai avvisando,you are notifying,sta avvisando,he/she is notifying,stiamo avvisando,we are notifying,state avvisando,you all are notifying,stanno avvisando,they are notifying
incuriosire,to intrigue,sto incuriosendo,I am intriguing,stai incuriosendo,you are intriguing,sta incuriosendo,he/she is intriguing,stiamo incuriosendo,we are intriguing,state incuriosendo,you all are intriguing,stanno incuriosendo,they are intriguing
devastare,to devastate,sto devastando,I am devastating,stai devastando,you are devastating,sta devastando,he/she is devastating,stiamo devastando,we are devastating,state devastando,you all are devastating,stanno devastando,they are devastating
imboccare,to enter/to feed,sto imboccando,I am entering/feeding,stai imboccando,you are entering/feeding,sta imboccando,he/she is entering/feeding,stiamo imboccando,we are entering/feeding,state imboccando,you all are entering/feeding,stanno imboccando,they are entering/feeding
disperdere,to disperse,sto disperdendo,I am dispersing,stai disperdendo,you are dispersing,sta disperdendo,he/she is dispersing,stiamo disperdendo,we are dispersing,state disperdendo,you all are dispersing,stanno disperdendo,they are dispersing
somministrare,to administer,sto somministrando,I am administering,stai somministrando,you are administering,sta somministrando,he/she is administering,stiamo somministrando,we are administering,state somministrando,you all are administering,stanno somministrando,they are administering
emigrare,to emigrate,sto emigrando,I am emigrating,stai emigrando,you are emigrating,sta emigrando,he/she is emigrating,stiamo emigrando,we are emigrating,state emigrando,you all are emigrating,stanno emigrando,they are emigrating
oltreoceare,to go beyond the ocean,sto oltreoceando,I am going overseas,stai oltreoceando,you are going overseas,sta oltreoceando,he/she is going overseas,stiamo oltreoceando,we are going overseas,state oltreoceando,you all are going overseas,stanno oltreoceando,they are going overseas
istruire,to instruct,sto istruendo,I am instructing,stai istruendo,you are instructing,sta istruendo,he/she is instructing,stiamo istruendo,we are instructing,state istruendo,you all are instructing,stanno istruendo,they are instructing
contendere,to contend,sto contendendo,I am contesting/contending,stai contendendo,you are contesting/contending,sta contendendo,he/she is contesting/contending,stiamo contendendo,we are contesting/contending,state contendendo,you all are contesting/contending,stanno contendendo,they are contesting/contending
sfilare,to parade,sto sfilando,I am parading/filing,stai sfilando,you are parading/filing,sta sfilando,he/she is parading/filing,stiamo sfilando,we are parading/filing,state sfilando,you all are parading/filing,stanno sfilando,they are parading/filing
riciclare,to recycle,sto riciclando,I am recycling,stai riciclando,you are recycling,sta riciclando,he/she is recycling,stiamo riciclando,we are recycling,state riciclando,you all are recycling,stanno riciclando,they are recycling
chiacchierare,to chat,sto chiacchierando,I am chatting,stai chiacchierando,you are chatting,sta chiacchierando,he/she is chatting,stiamo chiacchierando,we are chatting,state chiacchierando,you all are chatting,stanno chiacchierando,they are chatting
concertare,to plan,sto concertando,I am concerting,stai concertando,you are concerting,sta concertando,he/she is concerting,stiamo concertando,we are concerting,state concertando,you all are concerting,stanno concertando,they are concerting
esortare,to urge,sto esortando,I am exhorting,stai esortando,you are exhorting,sta esortando,he/she is exhorting,stiamo esortando,we are exhorting,state esortando,you all are exhorting,stanno esortando,they are exhorting
polire,to polish,sto polendo,I am cleaning,stai polendo,you are cleaning,sta polendo,he/she is cleaning,stiamo polendo,we are cleaning,state polendo,you all are cleaning,stanno polendo,they are cleaning
rigettare,to reject,sto rigettando,I am rejecting,stai rigettando,you are rejecting,sta rigettando,he/she is rejecting,stiamo rigettando,we are rejecting,state rigettando,you all are rejecting,stanno rigettando,they are rejecting
riconquistare,to reconquer,sto riconquistando,I am reconquering,stai riconquistando,you are reconquering,sta riconquistando,he/she is reconquering,stiamo riconquistando,we are reconquering,state riconquistando,you all are reconquering,stanno riconquistando,they are reconquering
equivalentare,to equate,sto equivalentando,I am equaling,stai equivalentando,you are equaling,sta equivalentando,he/she is equaling,stiamo equivalentando,we are equaling,state equivalentando,you all are equaling,stanno equivalentando,they are equaling
soffiare,to blow,sto soffiando,I am blowing,stai soffiando,you are blowing,sta soffiando,he/she is blowing,stiamo soffiando,we are blowing,state soffiando,you all are blowing,stanno soffiando,they are blowing
automatizzare,to automate,sto automatizzando,I am automating,stai automatizzando,you are automating,sta automatizzando,he/she is automating,stiamo automatizzando,we are automating,state automatizzando,you all are automating,stanno automatizzando,they are automating
affiggere,to affix,sto affiggendo,I am posting,stai affiggendo,you are posting,sta affiggendo,he/she is posting,stiamo affiggendo,we are posting,state affiggendo,you all are posting,stanno affiggendo,they are posting
affissare,to put up,sto affissando,I am affixing,stai affissando,you are affixing,sta affissando,he/she is affixing,stiamo affissando,we are affixing,state affissando,you all are affixing,stanno affissando,they are affixing
ultimare,to finish,sto ultimando,I am finalizing,stai ultimando,you are finalizing,sta ultimando,he/she is finalizing,stiamo ultimando,we are finalizing,state ultimando,you all are finalizing,stanno ultimando,they are finalizing
agliare,to add garlic to,sto agliando,I am seasoning with garlic,stai agliando,you are seasoning with garlic,sta agliando,he/she is seasoning with garlic,stiamo agliando,we are seasoning with garlic,state agliando,you all are seasoning with garlic,stanno agliando,they are seasoning with garlic
adoperare,to use,sto adoperando,I am using,stai adoperando,you are using,sta adoperando,he/she is using,stiamo adoperando,we are using,state adoperando,you all are using,stanno adoperando,they are using
esplicitare,to make explicit,sto esplicitando,I am making explicit,stai esplicitando,you are making explicit,sta esplicitando,he/she is making explicit,stiamo esplicitando,we are making explicit,state esplicitando,you all are making explicit,stanno esplicitando,they are making explicit
asciugare,to dry,sto asciugando,I am drying,stai asciugando,you are drying,sta asciugando,he/she is drying,stiamo asciugando,we are drying,state asciugando,you all are drying,stanno asciugando,they are drying
edificare,to build,sto edificando,I am building,stai edificando,you are building,sta edificando,he/she is building,stiamo edificando,we are building,state edificando,you all are building,stanno edificando,they are building
ribattere,to retort,sto ribattendo,I am retorting,stai ribattendo,you are retorting,sta ribattendo,he/she is retorting,stiamo ribattendo,we are retorting,state ribattendo,you all are retorting,stanno ribattendo,they are retorting
obiettare,to object,sto obiettando,I am objecting,stai obiettando,you are objecting,sta obiettando,he/she is objecting,stiamo obiettando,we are objecting,state obiettando,you all are objecting,stanno obiettando,they are objecting
precludere,to preclude,sto precludendo,I am precluding,stai precludendo,you are precluding,sta precludendo,he/she is precluding,stiamo precludendo,we are precluding,state precludendo,you all are precluding,stanno precludendo,they are precluding
ritrarre,to portray,sto ritraendo,I am withdrawing,stai ritraendo,you are withdrawing,sta ritraendo,he/she is withdrawing,stiamo ritraendo,we are withdrawing,state ritraendo,you all are withdrawing,stanno ritraendo,they are withdrawing
smontare,to dismantle,sto smontando,I am taking apart,stai smontando,you are taking apart,sta smontando,he/she is taking apart,stiamo smontando,we are taking apart,state smontando,you all are taking apart,stanno smontando,they are taking apart
presidere,to preside,sto presiedendo,I am presiding,stai presiedendo,you are presiding,sta presiedendo,he/she is presiding,stiamo presiedendo,we are presiding,state presiedendo,you all are presiding,stanno presiedendo,they are presiding
usufruttare,to have the usufruct of,sto usufruttando,I am taking advantage of,stai usufruttando,you are taking advantage of,sta usufruttando,he/she is taking advantage of,stiamo usufruttando,we are taking advantage of,state usufruttando,you all are taking advantage of,stanno usufruttando,they are taking advantage of
aggravare,to aggravate,sto aggravando,I am aggravating,stai aggravando,you are aggravating,sta aggravando,he/she is aggravating,stiamo aggravando,we are aggravating,state aggravando,you all are aggravating,stanno aggravando,they are aggravating
mobiliare,to furnish,sto mobiliando,I am furnishing,stai mobiliando,you are furnishing,sta mobiliando,he/she is furnishing,stiamo mobiliando,we are furnishing,state mobiliando,you all are furnishing,stanno mobiliando,they are furnishing
decedere,to pass away,sto decedendo,I am passing away,stai decedendo,you are passing away,sta decedendo,he/she is passing away,stiamo decedendo,we are passing away,state decedendo,you all are passing away,stanno decedendo,they are passing away
appendere,to hang,sto appendendo,I am hanging,stai appendendo,you are hanging,sta appendendo,he/she is hanging,stiamo appendendo,we are hanging,state appendendo,you all are hanging,stanno appendendo,they are hanging
rapportare,to relate,sto rapportando,I am relating,stai rapportando,you are relating,sta rapportando,he/she is relating,stiamo rapportando,we are relating,state rapportando,you all are relating,stanno rapportando,they are relating
allineare,to align,sto allineando,I am aligning,stai allineando,you are aligning,sta allineando,he/she is aligning,stiamo allineando,we are aligning,state allineando,you all are aligning,stanno allineando,they are aligning
comperare,to buy,sto comperando,I am buying,stai comperando,you are buying,sta comperando,he/she is buying,stiamo comperando,we are buying,state comperando,you all are buying,stanno comperando,they are buying
solere,to be accustomed to,sto solendo,I am being accustomed,stai solendo,you are being accustomed,sta solendo,he/she is being accustomed,stiamo solendo,we are being accustomed,state solendo,you all are being accustomed,stanno solendo,they are being accustomed
proliferare,to proliferate,sto proliferando,I am proliferating,stai proliferando,you are proliferating,sta proliferando,he/she is proliferating,stiamo proliferando,we are proliferating,state proliferando,you all are proliferating,stanno proliferando,they are proliferating
potassiare,to treat with potassium,sto potassiando,I am treating with potash,stai potassiando,you are treating with potash,sta potassiando,he/she is treating with potash,stiamo potassiando,we are treating with potash,state potassiando,you all are treating with potash,stanno potassiando,they are treating with potash
affittare,to rent,sto affittando,I am renting,stai affittando,you are renting,sta affittando,he/she is renting,stiamo affittando,we are renting,state affittando,you all are renting,stanno affittando,they are renting
contrassegnare,to mark,sto contrassegnando,I am marking,stai contrassegnando,you are marking,sta contrassegnando,he/she is marking,stiamo contrassegnando,we are marking,state contrassegnando,you all are marking,stanno contrassegnando,they are marking
riconfermare,to reconfirm,sto riconfermando,I am reconfirming,stai riconfermando,you are reconfirming,sta riconfermando,he/she is reconfirming,stiamo riconfermando,we are reconfirming,state riconfermando,you all are reconfirming,stanno riconfermando,they are reconfirming
intervistare,to interview,sto intervistando,I am interviewing,stai intervistando,you are interviewing,sta intervistando,he/she is interviewing,stiamo intervistando,we are interviewing,state intervistando,you all are interviewing,stanno intervistando,they are interviewing
delimitare,to delimit,sto delimitando,I am delimiting,stai delimitando,you are delimiting,sta delimitando,he/she is delimiting,stiamo delimitando,we are delimiting,state delimitando,you all are delimiting,stanno delimitando,they are delimiting
congelare,to freeze,sto congelando,I am freezing,stai congelando,you are freezing,sta congelando,he/she is freezing,stiamo congelando,we are freezing,state congelando,you all are freezing,stanno congelando,they are freezing
indovinare,to guess,sto indovinando,I am guessing,stai indovinando,you are guessing,sta indovinando,he/she is guessing,stiamo indovinando,we are guessing,state indovinando,you all are guessing,stanno indovinando,they are guessing
attrezzare,to equip,sto attrezzando,I am equipping,stai attrezzando,you are equipping,sta attrezzando,he/she is equipping,stiamo attrezzando,we are equipping,state attrezzando,you all are equipping,stanno attrezzando,they are equipping
comodare,to accommodate,sto comodando,I am making comfortable,stai comodando,you are making comfortable,sta comodando,he/she is making comfortable,stiamo comodando,we are making comfortable,state comodando,you all are making comfortable,stanno comodando,they are making comfortable
tralasciare,to omit,sto tralasciando,I am omitting,stai tralasciando,you are omitting,sta tralasciando,he/she is omitting,stiamo tralasciando,we are omitting,state tralasciando,you all are omitting,stanno tralasciando,they are omitting
riorganizzare,to reorganize,sto riorganizzando,I am reorganizing,stai riorganizzando,you are reorganizing,sta riorganizzando,he/she is reorganizing,stiamo riorganizzando,we are reorganizing,state riorganizzando,you all are reorganizing,stanno riorganizzando,they are reorganizing
arredare,to furnish,sto arredando,I am furnishing,stai arredando,you are furnishing,sta arredando,he/she is furnishing,stiamo arredando,we are furnishing,state arredando,you all are furnishing,stanno arredando,they are furnishing
domiciliare,to domicile,sto domiciliando,I am registering a domicile,stai domiciliando,you are registering a domicile,sta domiciliando,he/she is registering a domicile,stiamo domiciliando,we are registering a domicile,state domiciliando,you all are registering a domicile,stanno domiciliando,they are registering a domicile
beccare,to peck,sto beccando,I am pecking,stai beccando,you are pecking,sta beccando,he/she is pecking,stiamo beccando,we are pecking,state beccando,you all are pecking,stanno beccando,they are pecking
predicare,to preach,sto predicando,I am preaching,stai predicando,you are preaching,sta predicando,he/she is preaching,stiamo predicando,we are preaching,state predicando,you all are preaching,stanno predicando,they are preaching
sprecare,to waste,sto sprecando,I am wasting,stai sprecando,you are wasting,sta sprecando,he/she is wasting,stiamo sprecando,we are wasting,state sprecando,you all are wasting,stanno sprecando,they are wasting
rinforzare,to reinforce,sto rinforzando,I am reinforcing,stai rinforzando,you are reinforcing,sta rinforzando,he/she is reinforcing,stiamo rinforzando,we are reinforcing,state rinforzando,you all are reinforcing,stanno rinforzando,they are reinforcing
girellare,to wander,sto girellando,I am wandering,stai girellando,you are wandering,sta girellando,he/she is wandering,stiamo girellando,we are wandering,state girellando,you all are wandering,stanno girellando,they are wandering
evadere,to evade,sto evadendo,I am escaping,stai evadendo,you are escaping,sta evadendo,he/she is escaping,stiamo evadendo,we are escaping,state evadendo,you all are escaping,stanno evadendo,they are escaping
indebolire,to weaken,sto indebolendo,I am weakening,stai indebolendo,you are weakening,sta indebolendo,he/she is weakening,stiamo indebolendo,we are weakening,state indebolendo,you all are weakening,stanno indebolendo,they are weakening
serbare,to keep,sto serbando,I am keeping,stai serbando,you are keeping,sta serbando,he/she is keeping,stiamo serbando,we are keeping,state serbando,you all are keeping,stanno serbando,they are keeping
esitare,to hesitate,sto esitando,I am hesitating,stai esitando,you are hesitating,sta esitando,he/she is hesitating,stiamo esitando,we are hesitating,state esitando,you all are hesitating,stanno esitando,they are hesitating
affliggere,to afflict,sto affliggendo,I am afflicting,stai affliggendo,you are afflicting,sta affliggendo,he/she is afflicting,stiamo affliggendo,we are afflicting,state affliggendo,you all are afflicting,stanno affliggendo,they are afflicting
trascrivere,to transcribe,sto trascrivendo,I am transcribing,stai trascrivendo,you are transcribing,sta trascrivendo,he/she is transcribing,stiamo trascrivendo,we are transcribing,state trascrivendo,you all are transcribing,stanno trascrivendo,they are transcribing
lievitare,to rise,sto lievitando,I am rising,stai lievitando,you are rising,sta lievitando,he/she is rising,stiamo lievitando,we are rising,state lievitando,you all are rising,stanno lievitando,they are rising
argomentare,to argue,sto argomentando,I am arguing,stai argomentando,you are arguing,sta argomentando,he/she is arguing,stiamo argomentando,we are arguing,state argomentando,you all are arguing,stanno argomentando,they are arguing
differire,to differ,sto differendo,I am differing,stai differendo,you are differing,sta differendo,he/she is differing,stiamo differendo,we are differing,state differendo,you all are differing,stanno differendo,they are differing
pervadere,to pervade,sto pervadendo,I am pervading,stai pervadendo,you are pervading,sta pervadendo,he/she is pervading,stiamo pervadendo,we are pervading,state pervadendo,you all are pervading,stanno pervadendo,they are pervading
scandire,to articulate,sto scandendo,I am articulating,stai scandendo,you are articulating,sta scandendo,he/she is articulating,stiamo scandendo,we are articulating,state scandendo,you all are articulating,stanno scandendo,they are articulating
levare,to lift,sto levando,I am lifting,stai levando,you are lifting,sta levando,he/she is lifting,stiamo levando,we are lifting,state levando,you all are lifting,stanno levando,they are lifting
alludere,to allude,sto alludendo,I am alluding,stai alludendo,you are alluding,sta alludendo,he/she is alluding,stiamo alludendo,we are alluding,state alludendo,you all are alluding,stanno alludendo,they are alluding
uniformare,to standardize,sto uniformando,I am standardizing,stai uniformando,you are standardizing,sta uniformando,he/she is standardizing,stiamo uniformando,we are standardizing,state uniformando,you all are standardizing,stanno uniformando,they are standardizing
filtrare,to filter,sto filtrando,I am filtering,stai filtrando,you are filtering,sta filtrando,he/she is filtering,stiamo filtrando,we are filtering,state filtrando,you all are filtering,stanno filtrando,they are filtering
insediare,to install,sto insediando,I am installing,stai insediando,you are installing,sta insediando,he/she is installing,stiamo insediando,we are installing,state insediando,you all are installing,stanno insediando,they are installing
ridimensionare,to resize,sto ridimensionando,I am resizing,stai ridimensionando,you are resizing,sta ridimensionando,he/she is resizing,stiamo ridimensionando,we are resizing,state ridimensionando,you all are resizing,stanno ridimensionando,they are resizing
sigillare,to seal,sto sigillando,I am sealing,stai sigillando,you are sealing,sta sigillando,he/she is sealing,stiamo sigillando,we are sealing,state sigillando,you all are sealing,stanno sigillando,they are sealing
ottemperare,to comply,sto ottemperando,I am complying,stai ottemperando,you are complying,sta ottemperando,he/she is complying,stiamo ottemperando,we are complying,state ottemperando,you all are complying,stanno ottemperando,they are complying
soffocare,to suffocate,sto soffocando,I am suffocating,stai soffocando,you are suffocating,sta soffocando,he/she is suffocating,stiamo soffocando,we are suffocating,state soffocando,you all are suffocating,stanno soffocando,they are suffocating
frammentare,to fragment,sto frammentando,I am fragmenting,stai frammentando,you are fragmenting,sta frammentando,he/she is fragmenting,stiamo frammentando,we are fragmenting,state frammentando,you all are fragmenting,stanno frammentando,they are fragmenting
autotutelare,to self-protect,sto autotutelando,I am self-protecting,stai autotutelando,you are self-protecting,sta autotutelando,he/she is self-protecting,stiamo autotutelando,we are self-protecting,state autotutelando,you all are self-protecting,stanno autotutelando,they are self-protecting
rassegnare,to resign,sto rassegnando,I am resigning,stai rassegnando,you are resigning,sta rassegnando,he/she is resigning,stiamo rassegnando,we are resigning,state rassegnando,you all are resigning,stanno rassegnando,they are resigning
transitare,to transit,sto transitando,I am transiting,stai transitando,you are transiting,sta transitando,he/she is transiting,stiamo transitando,we are transiting,state transitando,you all are transiting,stanno transitando,they are transiting
intercorrere,to intervene,sto intercorrendo,I am occurring,stai intercorrendo,you are occurring,sta intercorrendo,he/she is occurring,stiamo intercorrendo,we are occurring,state intercorrendo,you all are occurring,stanno intercorrendo,they are occurring
riconsiderare,to reconsider,sto riconsiderando,I am reconsidering,stai riconsiderando,you are reconsidering,sta riconsiderando,he/she is reconsidering,stiamo riconsiderando,we are reconsidering,state riconsiderando,you all are reconsidering,stanno riconsiderando,they are reconsidering
deporre,to depose,sto deponendo,I am deposing,stai deponendo,you are deposing,sta deponendo,he/she is deposing,stiamo deponendo,we are deposing,state deponendo,you all are deposing,stanno deponendo,they are deposing
confezionare,to package,sto confezionando,I am wrapping,stai confezionando,you are wrapping,sta confezionando,he/she is wrapping,stiamo confezionando,we are wrapping,state confezionando,you all are wrapping,stanno confezionando,they are wrapping
consolare,to console,sto consolando,I am comforting,stai consolando,you are comforting,sta consolando,he/she is comforting,stiamo consolando,we are comforting,state consolando,you all are comforting,stanno consolando,they are comforting
sospettare,to suspect,sto sospettando,I am suspecting,stai sospettando,you are suspecting,sta sospettando,he/she is suspecting,stiamo sospettando,we are suspecting,state sospettando,you all are suspecting,stanno sospettando,they are suspecting
seminare,to sow,sto seminando,I am sowing,stai seminando,you are sowing,sta seminando,he/she is sowing,stiamo seminando,we are sowing,state seminando,you all are sowing,stanno seminando,they are sowing
digerire,to digest,sto digerendo,I am digesting,stai digerendo,you are digesting,sta digerendo,he/she is digesting,stiamo digerendo,we are digesting,state digerendo,you all are digesting,stanno digerendo,they are digesting
piazzare,to place,sto piazzando,I am placing,stai piazzando,you are placing,sta piazzando,he/she is placing,stiamo piazzando,we are placing,state piazzando,you all are placing,stanno piazzando,they are placing
globalizzare,to globalize,sto globalizzando,I am globalizing,stai globalizzando,you are globalizing,sta globalizzando,he/she is globalizing,stiamo globalizzando,we are globalizing,state globalizzando,you all are globalizing,stanno globalizzando,they are globalizing
quire,to seek,sto quendo,I am satisfying,stai quendo,you are satisfying,sta quendo,he/she is satisfying,stiamo quendo,we are satisfying,state quendo,you all are satisfying,stanno quendo,they are satisfying
invidiare,to envy,sto invidiando,I am envying,stai invidiando,you are envying,sta invidiando,he/she is envying,stiamo invidiando,we are envying,state invidiando,you all are envying,stanno invidiando,they are envying
vergognare,to shame,sto vergognando,I am shaming,stai vergognando,you are shaming,sta vergognando,he/she is shaming,stiamo vergognando,we are shaming,state vergognando,you all are shaming,stanno vergognando,they are shaming
orzare,to luff,sto orzando,I am luffing,stai orzando,you are luffing,sta orzando,he/she is luffing,stiamo orzando,we are luffing,state orzando,you all are luffing,stanno orzando,they are luffing
alleggerire,to lighten,sto alleggerendo,I am lightening,stai alleggerendo,you are lightening,sta alleggerendo,he/she is lightening,stiamo alleggerendo,we are lightening,state alleggerendo,you all are lightening,stanno alleggerendo,they are lightening
propiare,to propitiate,sto propiando,I am fitting,stai propiando,you are fitting,sta propiando,he/she is fitting,stiamo propiando,we are fitting,state propiando,you all are fitting,stanno propiando,they are fitting
fruttare,to yield,sto fruttando,I am yielding,stai fruttando,you are yielding,sta fruttando,he/she is yielding,stiamo fruttando,we are yielding,state fruttando,you all are yielding,stanno fruttando,they are yielding
riscattare,to redeem,sto riscattando,I am redeeming,stai riscattando,you are redeeming,sta riscattando,he/she is redeeming,stiamo riscattando,we are redeeming,state riscattando,you all are redeeming,stanno riscattando,they are redeeming
addestrare,to train,sto addestrando,I am training,stai addestrando,you are training,sta addestrando,he/she is training,stiamo addestrando,we are training,state addestrando,you all are training,stanno addestrando,they are training
commisurare,to measure out,sto commisurando,I am measuring against,stai commisurando,you are measuring against,sta commisurando,he/she is measuring against,stiamo commisurando,we are measuring against,state commisurando,you all are measuring against,stanno commisurando,they are measuring against
ricalcare,to trace,sto ricalcando,I am tracing,stai ricalcando,you are tracing,sta ricalcando,he/she is tracing,stiamo ricalcando,we are tracing,state ricalcando,you all are tracing,stanno ricalcando,they are tracing
pipire,to chirp,sto pipendo,I am cheeping,stai pipendo,you are cheeping,sta pipendo,he/she is cheeping,stiamo pipendo,we are cheeping,state pipendo,you all are cheeping,stanno pipendo,they are cheeping
deviare,to deviate,sto deviando,I am deviating,stai deviando,you are deviating,sta deviando,he/she is deviating,stiamo deviando,we are deviating,state deviando,you all are deviating,stanno deviando,they are deviating
sfondare,to break through,sto sfondando,I am breaking through,stai sfondando,you are breaking through,sta sfondando,he/she is breaking through,stiamo sfondando,we are breaking through,state sfondando,you all are breaking through,stanno sfondando,they are breaking through
debuttare,to debut,sto debuttando,I am debuting,stai debuttando,you are debuting,sta debuttando,he/she is debuting,stiamo debuttando,we are debuting,state debuttando,you all are debuting,stanno debuttando,they are debuting
fluire,to flow,sto fluendo,I am flowing,stai fluendo,you are flowing,sta fluendo,he/she is flowing,stiamo fluendo,we are flowing,state fluendo,you all are flowing,stanno fluendo,they are flowing
computare,to compute,sto computando,I am computing,stai computando,you are computing,sta computando,he/she is computing,stiamo computando,we are computing,state computando,you all are computing,stanno computando,they are computing
accantonare,to set aside,sto accantonando,I am setting aside,stai accantonando,you are setting aside,sta accantonando,he/she is setting aside,stiamo accantonando,we are setting aside,state accantonando,you all are setting aside,stanno accantonando,they are setting aside
sfogliare,to leaf through,sto sfogliando,I am leafing through,stai sfogliando,you are leafing through,sta sfogliando,he/she is leafing through,stiamo sfogliando,we are leafing through,state sfogliando,you all are leafing through,stanno sfogliando,they are leafing through
unificare,to unify,sto unificando,I am unifying,stai unificando,you are unifying,sta unificando,he/she is unifying,stiamo unificando,we are unifying,state unificando,you all are unifying,stanno unificando,they are unifying
esonerare,to exonerate,sto esonerando,I am exempting,stai esonerando,you are exempting,sta esonerando,he/she is exempting,stiamo esonerando,we are exempting,state esonerando,you all are exempting,stanno esonerando,they are exempting
archiviare,to file,sto archiviando,I am archiving,stai archiviando,you are archiving,sta archiviando,he/she is archiving,stiamo archiviando,we are archiving,state archiviando,you all are archiving,stanno archiviando,they are archiving
risvegliare,to awaken,sto risvegliando,I am reawakening,stai risvegliando,you are reawakening,sta risvegliando,he/she is reawakening,stiamo risvegliando,we are reawakening,state risvegliando,you all are reawakening,stanno risvegliando,they are reawakening
immatricolare,to register,sto immatricolando,I am registering,stai immatricolando,you are registering,sta immatricolando,he/she is registering,stiamo immatricolando,we are registering,state immatricolando,you all are registering,stanno immatricolando,they are registering
alberare,to hoist,sto alberando,I am planting with trees,stai alberando,you are planting with trees,sta alberando,he/she is planting with trees,stiamo alberando,we are planting with trees,state alberando,you all are planting with trees,stanno alberando,they are planting with trees
ricomporre,to recompose,sto ricomponendo,I am recomposing,stai ricomponendo,you are recomposing,sta ricomponendo,he/she is recomposing,stiamo ricomponendo,we are recomposing,state ricomponendo,you all are recomposing,stanno ricomponendo,they are recomposing
scovare,to discover,sto scovando,I am hunting down,stai scovando,you are hunting down,sta scovando,he/she is hunting down,stiamo scovando,we are hunting down,state scovando,you all are hunting down,stanno scovando,they are hunting down
disputare,to dispute,sto disputando,I am disputing,stai disputando,you are disputing,sta disputando,he/she is disputing,stiamo disputando,we are disputing,state disputando,you all are disputing,stanno disputando,they are disputing
accentuare,to accentuate,sto accentuando,I am accentuating,stai accentuando,you are accentuating,sta accentuando,he/she is accentuating,stiamo accentuando,we are accentuating,state accentuando,you all are accentuating,stanno accentuando,they are accentuating
contraddire,to contradict,sto contraddicendo,I am contradicting,stai contraddicendo,you are contradicting,sta contraddicendo,he/she is contradicting,stiamo contraddicendo,we are contradicting,state contraddicendo,you all are contradicting,stanno contraddicendo,they are contradicting
rimarcare,to remark,sto rimarcando,I am remarking,stai rimarcando,you are remarking,sta rimarcando,he/she is remarking,stiamo rimarcando,we are remarking,state rimarcando,you all are remarking,stanno rimarcando,they are remarking
condire,to season,sto condendo,I am seasoning,stai condendo,you are seasoning,sta condendo,he/she is seasoning,stiamo condendo,we are seasoning,state condendo,you all are seasoning,stanno condendo,they are seasoning
